,dim_City,City
807,800,Brussels
808,1112,Wyebridge
809,824,Nepean
810,825,Clarksburg
811,826,Harriston
812,827,Morrisburg
813,828,Shallow Lake
814,829,Cottam
815,830,CONISTON
816,831,Long Saul
817,444,Centreton
818,38,Williamsford
819,247,Heidelberg
820,836,Denfield
821,837,Brinston
822,838,Georgetown
823,839,Kagawong
824,840,Norwich
825,841,Huntsville
826,842,Greenbank
827,843,Vernonville
828,844,Mount Hope
829,845,Warkworth
830,778,Providence Bay
831,846,Ardbeg
832,1115,Springfield
833,848,Cobourg Ontario
834,849,Strathroy
835,851,Watford
836,852,Eganville
837,546,Avening
838,870,Pefferlaw
839,361,Kimberley
840,855,Niagara-On-The-Lake
841,856,Pt. Edward
842,27,Brechin
843,858,Elk Lake
844,381,Alma
845,860,Calabogie
846,861,Dubreuilville
847,497,Goodwood
848,1039,South Bruce
849,863,Nipigon
850,864,Blyth
851,431,Camborne
852,866,Embro
853,867,Courtland
854,868,Quadeville
855,869,BelleRiver
856,857,Ingersoll
857,871,Callander
858,872,Mitchell
859,873,North Dumfries
860,874,Markdale
861,482,Hampton
862,396,Collingwood 
863,878,Beachburg
864,879,Val Rita
865,514,Woodbridge
866,625,Coldwater
867,881,Port Franks
868,882,Zorra
869,810,Unionville
870,884,Frankville
871,549,Port Alma
872,886,East York
873,565,McDonalds Corners
874,805,St Charles
875,890,Courtice
876,891,Vaughan
877,892,Red Lake
878,605,Hardwood Lake
879,894,Russell
880,895,Tecumseh
881,896,Harlowe
882,897,Arva
883,898,Beardmore Ward
884,694,Williamsburg
885,900,Jellicoe Rural
886,901,Virginia
887,902,Ballantrae
888,865,Temiskaming Shores
889,904,St.-Charles
890,905,Honey Harbour
891,906,Thornbury
892,907,North Lancaster
893,258,Dunchurch
894,909,Milford
895,910,Mindemoya
896,911,Timmins
897,912,Lion's Head
898,153,Ajax 
899,752,Yarker
900,937,Listowel
901,917,Essa
902,817,Massey
903,903,Creemore
904,920,Marysville
905,921,Newcastle
906,1137,Rosemont
907,344,Corbyville
908,923,Thornton
909,924,Greenwood
910,508,Sunnidale Corners
911,641,Bobcaygeon
912,927,Singhampton
913,928,Lk. St. Peter
914,1094,Mountain 
915,560,Sioux Narrows
916,714,BLEZARD VALLEY
917,1165,Dymond
918,281,Madawaska
919,862,Keene
920,939,Alexandria
921,889,Anten Mills
922,554,Whitchurch-Stouffville
923,935,Varna
924,936,Dunedin
925,916,Appin
926,938,Terra Cotta
927,932,Wilberforce
928,940,Guelph
929,941,Iron Bridge
930,942,Belmont
931,943,Bloomfield
932,493,Kemble
933,945,Troy
934,178,Garden Hill
935,947,London
936,948,Long Sault
937,949,Saugeen Shores
938,950,Lyn
939,951,Desboro
940,952,Elmwood
941,428,North Bay
942,485,"Kemptville, ON"
943,756,Forest
944,956,Petrolia
945,957,Lafontaine
946,958,Orono
947,959,Colchester N Twp
948,960,McKerrow
949,1108,St-Albert
950,351,Newburgh
951,962,Moonbeam
952,964,Val Gagne
953,672,Thorndale
954,965,Tiny
955,966,Blenheim
956,967,Acton
957,834,St-Isidore
958,944,Teeterville
959,970,Alfred
960,971,Finch
961,972,McArthurs Mills
962,973,Westport 
963,975,Ridgetown
964,415,Fort Stewart
965,977,Palmerston
966,978,Lyndhurst
967,979,Brentwood
968,980,Caramat Rural
969,504,Holtyre
970,982,Zephyr
971,983,Upsala
972,984,Terrace Bay
973,1135,Gananoque
974,29,Newmarket
975,986,Colborne 
976,925,Crystal Beach
977,988,Toronto ON
978,989,Desbarats
979,57,Brockton
980,816,"568, rue Lessard"
981,992,Port Lambton
982,993,Port Severn
983,994,Belle Vallee
984,995,Eden
985,996,Paincourt
986,998,Sandfort
987,590,Mine Centre
988,1000,Parry Sound
989,1001,Sprucedale
990,833,Utopia
991,1003,Ripley
992,1037,Lambeth
993,1005,ONAPING
994,160,Aylmer
995,1007,New Dundee
996,413,Combermere
997,1009,Brownsville
998,181,Township of Hamilton
999,745,Maberly
1000,1146,Wendover
1001,406,Longford Mills
1002,1014,Windermere
1003,1015,Strickland
1004,1016,Mactier
1005,1084,Lansdowne
1006,1017,SKEAD
1007,908,Huron East
1008,233,Essex
1009,362,Chute-à-Blondeau
1010,624,Port Rowan
1011,1022,St Catharines
1012,1023,Cameron
1013,1024,St. Catharines
1014,332,WASHAGO
1015,764,Rainy River
1016,1027,Morrisburg 
1017,1028,Nakina Ward
1018,1029,Villa Nova
1019,303,Feversham
1020,1031,New Tecumseth
1021,1032,Midland
1022,1033,ORILLIA
1023,674,Ilderton
1024,330,Corbeil
1025,613,Fenelon Falls
1026,809,Hunstville
1027,1038,Woodstock
1028,341,Glenburnie
1029,1040,Port Carling 
1030,926,Bonfield
1031,1041,Dundas
1032,379,Tweed
1033,955,Warren
1034,804,Prince Albert
1035,899,Rockwood
1036,210,Welland 
1037,1046,"Lancaster, Ont"
1038,1047,Elk lake
1039,1048,M'Chigeeng
1040,422,Fordwich
1041,1050,Fort Erie
1042,1051,Riverdrive Park
1043,1052,Mountain Grove
1044,1053,"Emsdale, ON"
1045,1054,Bala
1046,887,Monetville
1047,1030,St-Pascal-Baylon
1048,1056,STRATFORD
1049,1157,Baltimore
1050,751,Bainsville 
1051,1058,Denbigh
1052,1059,Alvinston
1053,574,Lindsay
1054,974,Hillsdale
1055,1062,Kettleby
1056,1063,Bradford
1057,961,Pointe au Baril
1058,929,Mono
1059,530,Barriefield
1060,1067,Norwood
1061,538,MT. BRYDGES
1062,1069,Waubaushene
1063,353,Utterson
1064,1071,Sioux Lookout
1065,875,Alexandria 
1066,1073,Powassan
1067,582,HICKSON
1068,1075,Port McNicoll
1069,1076,McGregor
1070,1077,Severn
1071,1078,Bond Head
1072,1079,Mt Forest
1073,1080,North Augusta
1074,1081,Cherry Valley
1075,1082,Stratton
1076,1083,Mallorytown
1077,388,Mulmur
1078,1123,Mount Albert
1079,467,Baysville
1080,1086,Scugog
1081,1087,Simcoe Island
1082,1088,Wilno
1083,1178,Warsaw
1084,370,Springbrook
1085,1090,Pakenham
1086,1091,AMABEL
1087,1092,New Lowell
1088,1093,Britt
1089,934,Schumacher
1090,968,Crysler
1091,1096,Vermilion Bay
1092,1097,Kanata
1093,1098,Bryanston
1094,735,SEVERN TOWNSHIP
1095,1100,Arden
1096,969,Manitouwadge
1097,963,Salford
1098,1102,MT BRYDGES
1099,1106,Oro
1100,376,Frankford
1101,765,Oakwood
1102,1105,Pelee Isl.
1103,985,West Lorne
1104,686,WHITEFISH
1105,1107,Hudson
1106,914,Brooklin
1107,1109,Owe Sound
1108,1110,MELBOURNE
1109,1111,Virgil
1110,427,Erinsville
1111,823,Ruscom Station
1112,1113,Espanola
1113,1114,Swastika
1114,847,Moorefield
1115,1116,Weston
1116,1117,Thamesford
1117,1118,Morpeth
1118,602,Athens 
1119,1036,Scotland
1120,1120,Manitowaning
1121,1121,Sarnia
1122,440,Dalkeith
1123,1124,Cornwall
1124,1125,Tory Hill
1125,1170,Brodhagen
1126,1126,Wardsville
1127,1127,Matheson
1128,1128,Avonmore
1129,249,Centralia
1130,1130,Berwick
1131,976,Vienna
1132,1132,Udora
1133,1133,Tottenham
1134,576,Johnstown
1135,699,Algoma Mills
1136,1136,Madoc
1137,785,Pain Court
1138,1138,Markstay
1139,1139,Nakina
1140,1140,Navan
1141,1141,Drayton
1142,1142,Fergus
1143,1143,Bewdley
1144,400,Mooretown
1145,987,Morewood 
1146,1012,Melbourne
1147,1147,Bonnechere Valley
1148,1148,Georgian Bay
1149,1004,Maitland
1150,1150,Collingwood
1151,1151,Derby
1152,1152,Minesing
1153,1153,Sombra
1154,1154,Greensville
1155,1155,Treadwell
1156,913,Iroquois
1157,850,Howe Island
1158,1044,Limoges
1159,1045,Bethany
1160,1160,Geraldton Ward
1161,1161,Napanee
1162,791,Oro Station
1163,1164,Richards Landing
1164,792,Connaught
1165,1166,St Clements
1166,227,Morson
1167,1168,Duntroon
1168,1169,Sunderland
1169,883,Lanark
1170,535,Ruthven
1171,1171,Spanish
1172,1172,Cardiff
1173,1173,Red Rock
1174,930,Harley
1175,1174,Oakland
1176,441,Gilmour
1177,1177,Maple
1178,1049,Pinewood
